# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5190666	5191742	+							BT_RS20110	1077		old_locus_tag=BT3985,BT_3985
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5190666	5191742	+	WP_011109050.1	WP_011109050.1		glycoside hydrolase family 18			BT_RS20110	1077	358	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5191751	5192905	+							BT_RS20115	1155		old_locus_tag=BT3986,BT_3986
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5191751	5192905	+	WP_008760901.1	WP_008760901.1		DUF1735 and LamG domain-containing protein			BT_RS20115	1155	384	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5192939	5194369	+							BT_RS20120	1431		old_locus_tag=BT3987,BT_3987
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5192939	5194369	+	WP_008760902.1	WP_008760902.1		DUF1735 domain-containing protein			BT_RS20120	1431	476	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5194400	5195734	+							BT_RS20125	1335		old_locus_tag=BT3988,BT_3988
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5194400	5195734	+	WP_011109051.1	WP_011109051.1		DUF4989 domain-containing protein			BT_RS20125	1335	444	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5196004	5196438	-							BT_RS20130	435		old_locus_tag=BT3989,BT_3989
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5196004	5196438	-	WP_008760904.1	WP_008760904.1		DUF6078 family protein			BT_RS20130	435	144	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5196633	5198900	-							BT_RS20135	2268		old_locus_tag=BT3990,BT_3990
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5196633	5198900	-	WP_011109052.1	WP_011109052.1		GH92 family glycosyl hydrolase			BT_RS20135	2268	755	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5198998	5201274	-							BT_RS20140	2277		old_locus_tag=BT3991,BT_3991
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5198998	5201274	-	WP_011109053.1	WP_011109053.1		GH92 family glycosyl hydrolase			BT_RS20140	2277	758	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5201306	5202316	-							BT_RS20145	1011		old_locus_tag=BT3992,BT_3992
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5201306	5202316	-	WP_162303128.1	WP_162303128.1		FecR domain-containing protein			BT_RS20145	1011	336	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5202354	5202908	-							BT_RS20150	555		old_locus_tag=BT3993,BT_3993
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5202354	5202908	-	WP_011109055.1	WP_011109055.1		RNA polymerase sigma-70 factor			BT_RS20150	555	184	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5202936	5205167	-							BT_RS20155	2232		old_locus_tag=BT3994,BT_3994
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5202936	5205167	-	WP_011109056.1	WP_011109056.1		GH92 family glycosyl hydrolase			BT_RS20155	2232	743	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5205400	5208018	-					alaS		BT_RS20160	2619		old_locus_tag=BT3995,BT_3995
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5205400	5208018	-	WP_011109057.1	WP_011109057.1		alanine--tRNA ligase	alaS		BT_RS20160	2619	872	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5208126	5209094	+							BT_RS20165	969		old_locus_tag=BT3996,BT_3996
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5208126	5209094	+	WP_008760911.1	WP_008760911.1		M23 family metallopeptidase			BT_RS20165	969	322	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5209116	5209457	+							BT_RS20170	342		old_locus_tag=BT3997,BT_3997
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5209116	5209457	+	WP_008760912.1	WP_008760912.1		MerR family transcriptional regulator			BT_RS20170	342	113	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5209459	5211702	-							BT_RS20175	2244		old_locus_tag=BT3998,BT_3998
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5209459	5211702	-	WP_008760913.1	WP_008760913.1		RelA/SpoT family protein			BT_RS20175	2244	747	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5211775	5213070	-							BT_RS20180	1296		old_locus_tag=BT3999,BT_3999
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5211775	5213070	-	WP_008764235.1	WP_008764235.1		lytic transglycosylase domain-containing protein			BT_RS20180	1296	431	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5213104	5213991	-							BT_RS20185	888		old_locus_tag=BT4000,BT_4000
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5213104	5213991	-	WP_008764236.1	WP_008764236.1		DUF5683 domain-containing protein			BT_RS20185	888	295	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5213992	5214882	-							BT_RS20190	891		old_locus_tag=BT4001,BT_4001
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5213992	5214882	-	WP_008760916.1	WP_008760916.1		ParB/RepB/Spo0J family partition protein			BT_RS20190	891	296	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5214894	5215658	-							BT_RS20195	765		old_locus_tag=BT4002,BT_4002
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5214894	5215658	-	WP_016269488.1	WP_016269488.1		AAA family ATPase			BT_RS20195	765	254	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5216019	5216798	+					surE		BT_RS20200	780		old_locus_tag=BT4003,BT_4003
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5216019	5216798	+	WP_008764237.1	WP_008764237.1		5'/3'-nucleotidase SurE	surE		BT_RS20200	780	259	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5216850	5217986	+					lpxB		BT_RS20205	1137		old_locus_tag=BT4004,BT_4004
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5216850	5217986	+	WP_008764238.1	WP_008764238.1		lipid-A-disaccharide synthase	lpxB		BT_RS20205	1137	378	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5218078	5218854	+							BT_RS20210	777		old_locus_tag=BT4005,BT_4005
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5218078	5218854	+	WP_008764239.1	WP_008764239.1		NigD-like protein			BT_RS20210	777	258	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5218967	5219809	-							BT_RS20215	843		old_locus_tag=BT4006,BT_4006
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5218967	5219809	-	WP_008764240.1	WP_008764240.1		phosphatidate cytidylyltransferase			BT_RS20215	843	280	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5219826	5221970	-					ftsH		BT_RS20220	2145		old_locus_tag=BT4007,BT_4007
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5219826	5221970	-	WP_062695721.1	WP_062695721.1		ATP-dependent zinc metalloprotease FtsH	ftsH		BT_RS20220	2145	714	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5221980	5222339	-					rsfS		BT_RS20225	360		old_locus_tag=BT4008,BT_4008
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5221980	5222339	-	WP_008764242.1	WP_008764242.1		ribosome silencing factor	rsfS		BT_RS20225	360	119	
gene	tRNA	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5222604	5222674	+							BT_RS20230	71		old_locus_tag=BT_t65
tRNA		GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5222604	5222674	+				tRNA-Gln			BT_RS20230	71		anticodon=CTG
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5222847	5223959	+							BT_RS20235	1113		old_locus_tag=BT4009,BT_4009
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5222847	5223959	+	WP_011109059.1	WP_011109059.1		site-specific integrase			BT_RS20235	1113	370	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5224188	5225576	+							BT_RS20240	1389		old_locus_tag=BT4010,BT_4010
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5224188	5225576	+	WP_011109060.1	WP_011109060.1		hypothetical protein			BT_RS20240	1389	462	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5225581	5226441	+							BT_RS20245	861		old_locus_tag=BT4011,BT_4011
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5225581	5226441	+	WP_007836183.1	WP_007836183.1		DNA adenine methylase			BT_RS20245	861	286	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5226438	5228003	+							BT_RS20250	1566		old_locus_tag=BT4012,BT_4012
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5226438	5228003	+	WP_007836180.1	WP_007836180.1		AAA family ATPase			BT_RS20250	1566	521	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5228099	5232097	-							BT_RS20255	3999		old_locus_tag=BT4013,BT_4013
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5228099	5232097	-	WP_011109062.1	WP_011109062.1		Eco57I restriction-modification methylase domain-containing protein			BT_RS20255	3999	1332	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5232104	5233120	-							BT_RS20260	1017		old_locus_tag=BT4014,BT_4014
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5232104	5233120	-	WP_011109063.1	WP_011109063.1		restriction endonuclease subunit M			BT_RS20260	1017	338	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5233402	5234610	-							BT_RS20265	1209		old_locus_tag=BT4015,BT_4015
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5233402	5234610	-	WP_011109064.1	WP_011109064.1		site-specific integrase			BT_RS20265	1209	402	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5234612	5235034	-							BT_RS20270	423		old_locus_tag=BT4016,BT_4016
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5234612	5235034	-	WP_011109065.1	WP_011109065.1		hypothetical protein			BT_RS20270	423	140	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5235315	5235782	-							BT_RS20275	468		old_locus_tag=BT4018,BT_4018
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5235315	5235782	-	WP_011109067.1	WP_011109067.1		DUF3408 domain-containing protein			BT_RS20275	468	155	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5236236	5236547	+							BT_RS20280	312		
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5236236	5236547	+	WP_074559344.1	WP_074559344.1		helix-turn-helix domain-containing protein			BT_RS20280	312	103	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5236587	5236892	+							BT_RS20285	306		
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5236587	5236892	+	WP_103877546.1	WP_103877546.1		helix-turn-helix domain-containing protein			BT_RS20285	306	101	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5237118	5237492	-							BT_RS20290	375		old_locus_tag=BT4020,BT_4020
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5237118	5237492	-	WP_011109069.1	WP_011109069.1		hypothetical protein			BT_RS20290	375	124	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5237521	5238732	-							BT_RS20295	1212		old_locus_tag=BT4021,BT_4021
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5237521	5238732	-	WP_011109070.1	WP_011109070.1		site-specific integrase			BT_RS20295	1212	403	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5238754	5239983	-							BT_RS20300	1230		old_locus_tag=BT4022,BT_4022
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5238754	5239983	-	WP_011109071.1	WP_011109071.1		site-specific integrase			BT_RS20300	1230	409	
gene	pseudogene	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5240281	5240490	+							BT_RS24760	210		partial;pseudo
CDS	without_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5240281	5240490	+				tyrosine-type recombinase/integrase			BT_RS24760	210		partial;pseudo
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5240487	5240747	+							BT_RS20310	261		old_locus_tag=BT4024,BT_4024
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5240487	5240747	+	WP_008764266.1	WP_008764266.1		hypothetical protein			BT_RS20310	261	86	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5240769	5241065	+							BT_RS20315	297		old_locus_tag=BT4025,BT_4025
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5240769	5241065	+	WP_011109073.1	WP_011109073.1		helix-turn-helix domain-containing protein			BT_RS20315	297	98	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5241062	5242060	+							BT_RS20320	999		old_locus_tag=BT4026,BT_4026
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5241062	5242060	+	WP_011109074.1	WP_011109074.1		DUF4373 domain-containing protein			BT_RS20320	999	332	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5242087	5242314	+							BT_RS20325	228		old_locus_tag=BT4027,BT_4027
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5242087	5242314	+	WP_008764269.1	WP_008764269.1		hypothetical protein			BT_RS20325	228	75	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5242311	5242583	+							BT_RS20330	273		old_locus_tag=BT4028,BT_4028
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5242311	5242583	+	WP_008764270.1	WP_008764270.1		hypothetical protein			BT_RS20330	273	90	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5242727	5243467	+							BT_RS20335	741		old_locus_tag=BT4029,BT_4029
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5242727	5243467	+	WP_011109075.1	WP_011109075.1		hypothetical protein			BT_RS20335	741	246	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5243593	5243847	+							BT_RS20340	255		old_locus_tag=BT4030,BT_4030
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5243593	5243847	+	WP_011109076.1	WP_011109076.1		DUF4248 domain-containing protein			BT_RS20340	255	84	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5243999	5244502	+							BT_RS20345	504		old_locus_tag=BT4031,BT_4031
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5243999	5244502	+	WP_011109077.1	WP_011109077.1		N-acetylmuramoyl-L-alanine amidase			BT_RS20345	504	167	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5244897	5245373	+							BT_RS20350	477		old_locus_tag=BT4032,BT_4032
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5244897	5245373	+	WP_011109078.1	WP_011109078.1		HU family DNA-binding protein			BT_RS20350	477	158	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5245816	5246088	+							BT_RS20355	273		
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5245816	5246088	+	WP_164927914.1	WP_164927914.1		hypothetical protein			BT_RS20355	273	90	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5246361	5246783	-							BT_RS24765	423		old_locus_tag=BT4034,BT_4034
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5246361	5246783	-	WP_011109080.1	WP_011109080.1		hypothetical protein			BT_RS24765	423	140	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5247093	5247413	-							BT_RS20365	321		old_locus_tag=BT4035,BT_4035
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5247093	5247413	-	WP_008764277.1	WP_008764277.1		helix-turn-helix transcriptional regulator			BT_RS20365	321	106	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5247431	5247979	-							BT_RS20370	549		old_locus_tag=BT4036,BT_4036
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5247431	5247979	-	WP_011109081.1	WP_011109081.1		hypothetical protein			BT_RS20370	549	182	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5248068	5248325	-							BT_RS20375	258		old_locus_tag=BT4037,BT_4037
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5248068	5248325	-	WP_008764279.1	WP_008764279.1		hypothetical protein			BT_RS20375	258	85	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5248793	5250634	-							BT_RS20380	1842		old_locus_tag=BT4038,BT_4038
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5248793	5250634	-	WP_008764280.1	WP_008764280.1		RagB/SusD family nutrient uptake outer membrane protein			BT_RS20380	1842	613	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5250659	5253760	-							BT_RS20385	3102		old_locus_tag=BT4039,BT_4039
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5250659	5253760	-	WP_008764281.1	WP_008764281.1		TonB-dependent receptor			BT_RS20385	3102	1033	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5253800	5255143	-							BT_RS20390	1344		old_locus_tag=BT4040,BT_4040
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5253800	5255143	-	WP_011109082.1	WP_011109082.1		DUF1735 domain-containing protein			BT_RS20390	1344	447	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5256049	5257926	-							BT_RS20395	1878		old_locus_tag=BT4041,BT_4041
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5256049	5257926	-	WP_008764283.1	WP_008764283.1		DUF349 domain-containing protein			BT_RS20395	1878	625	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5258012	5259352	-					mgtE		BT_RS20400	1341		old_locus_tag=BT4042,BT_4042
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5258012	5259352	-	WP_008760927.1	WP_008760927.1		magnesium transporter	mgtE		BT_RS20400	1341	446	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5259406	5260209	-					rsmA		BT_RS20405	804		old_locus_tag=BT4043,BT_4043
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5259406	5260209	-	WP_008760928.1	WP_008760928.1		16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA	rsmA		BT_RS20405	804	267	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5260280	5261266	+							BT_RS20410	987		old_locus_tag=BT4044,BT_4044
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5260280	5261266	+	WP_008760929.1	WP_008760929.1		flippase-like domain-containing protein			BT_RS20410	987	328	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5261291	5262748	+							BT_RS20415	1458		old_locus_tag=BT4045,BT_4045
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5261291	5262748	+	WP_008764285.1	WP_008764285.1		aminoacyl-histidine dipeptidase			BT_RS20415	1458	485	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5263331	5264887	-							BT_RS20420	1557		old_locus_tag=BT4046,BT_4046
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5263331	5264887	-	WP_008760930.1	WP_008760930.1		ATP-binding protein			BT_RS20420	1557	518	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5265755	5271523	+							BT_RS20425	5769		old_locus_tag=BT4047,BT_4047
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5265755	5271523	+	WP_072066367.1	WP_072066367.1		MG2 domain-containing protein			BT_RS20425	5769	1922	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5271759	5272826	+							BT_RS20430	1068		old_locus_tag=BT4048,BT_4048
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5271759	5272826	+	WP_008760932.1	WP_008760932.1		DUF1573 domain-containing protein			BT_RS20430	1068	355	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5272838	5273932	+					meaB		BT_RS20435	1095		old_locus_tag=BT4049,BT_4049
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5272838	5273932	+	WP_008760933.1	WP_008760933.1		methylmalonyl Co-A mutase-associated GTPase MeaB	meaB		BT_RS20435	1095	364	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5274028	5278056	+							BT_RS20440	4029		old_locus_tag=BT4050,BT_4050
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5274028	5278056	+	WP_011109085.1	WP_011109085.1		discoidin domain-containing protein			BT_RS20440	4029	1342	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5278177	5279094	-							BT_RS20445	918		old_locus_tag=BT4051,BT_4051
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5278177	5279094	-	WP_008764292.1	WP_008764292.1		DMT family transporter			BT_RS20445	918	305	
gene	pseudogene	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5279201	5280034	+							BT_RS20450	834		partial;pseudo
CDS	without_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5279201	5280034	+				AAA family ATPase			BT_RS20450	834		partial;pseudo
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5280089	5281090	+							BT_RS20455	1002		
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5280089	5281090	+	WP_008760937.1	WP_008760937.1		DUF4435 domain-containing protein			BT_RS20455	1002	333	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5281141	5282472	+							BT_RS20460	1332		old_locus_tag=BT4053,BT_4053
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5281141	5282472	+	WP_008760938.1	WP_008760938.1		mechanosensitive ion channel			BT_RS20460	1332	443	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5282533	5283429	+							BT_RS20465	897		old_locus_tag=BT4054,BT_4054
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5282533	5283429	+	WP_008760939.1	WP_008760939.1		AraC family transcriptional regulator			BT_RS20465	897	298	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5283909	5286623	+							BT_RS20470	2715		old_locus_tag=BT4055,BT_4055
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5283909	5286623	+	WP_011109087.1	WP_011109087.1		TonB-dependent receptor			BT_RS20470	2715	904	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5286667	5287878	+							BT_RS20475	1212		old_locus_tag=BT4056,BT_4056
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5286667	5287878	+	WP_008764295.1	WP_008764295.1		hypothetical protein			BT_RS20475	1212	403	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5288148	5290943	+							BT_RS20480	2796		old_locus_tag=BT4057,BT_4057
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5288148	5290943	+	WP_008764296.1	WP_008764296.1		ATP-binding protein			BT_RS20480	2796	931	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5290993	5292435	-							BT_RS20485	1443		old_locus_tag=BT4058,BT_4058
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5290993	5292435	-	WP_011109089.1	WP_011109089.1		NADH-quinone oxidoreductase subunit N			BT_RS20485	1443	480	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5292473	5293957	-							BT_RS20490	1485		old_locus_tag=BT4059,BT_4059
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5292473	5293957	-	WP_008764298.1	WP_008764298.1		NADH-quinone oxidoreductase subunit M			BT_RS20490	1485	494	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5294040	5295971	-					nuoL		BT_RS20495	1932		old_locus_tag=BT4060,BT_4060
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5294040	5295971	-	WP_008764299.1	WP_008764299.1		NADH-quinone oxidoreductase subunit L	nuoL		BT_RS20495	1932	643	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5296059	5296367	-					nuoK		BT_RS20500	309		old_locus_tag=BT4061,BT_4061
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5296059	5296367	-	WP_007764713.1	WP_007764713.1		NADH-quinone oxidoreductase subunit NuoK	nuoK		BT_RS20500	309	102	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5296463	5296975	-							BT_RS20505	513		old_locus_tag=BT4062,BT_4062
